Nome,Genere,Diffusione
ALVISIO,M,4
ALVISO,M,4
AMABILE,M,4
AMABILIO,M,4
AMADDIO,M,4
AMADEO,M,4
AMADIO,M,3
AMALFIO,M,4
AMALFO,M,4
AMALIO,M,4
AMANDINO,M,4
AMANDO,M,4
AMANTINO,M,4
AMANTO,M,4
AMANZIO,M,4
AMARANDO,M,4
AMARANTO,M,4
AMARIO,M,4
AMATIINO,M,4
AMATO,M,3
AMATORE,M,3
AMATUCCIO,M,4
AMBERTO,M,4
AMBRO,M,4
AMBROGINO,M,3
AMBROGIO,M,2
AMBROSINO,M,4
AMBROSIO,M,3
AMEDEO,M,2
AMEGLIO,M,4
AMELINO,M,4
AMELIO,M,4
AMERICO,M,3
AMERIGO,M,2
AMERINDO,M,4
AMERINO,M,4
AMERIO,M,4
AMERO,M,4
AMILCARE,M,2
AMINO,M,4
AMINTO,M,4
AMINTORE,M,3
AMLETO,M,3
AMODEO,M,4
AMODIO,M,4
AMONASRO,M,4
AMONASTRO,M,4
AMORE,M,4
AMORINO,M,4
AMOROSO,M,4
AMOS,M,3
AMPEGLIO,M,4
AMPELIO,M,4
AMPELLIO,M,4
AMPERIO,M,4
AMPILIO,M,4
AMULIO,M,4
ANACLETO,M,2
ANANIO,M,4
ANASTASIO,M,3
ANATOLIO,M,4
ANCILLO,M,4
ANCO,M,4
ANCOMARZIO,M,3
ANDALUSO,M,3
ANDINO,M,3
ANDO,M,3
ANDREA,M,1
ANDREANO,M,3
ANDREI,M,2
ANDREINO,M,3
ANDREOLO,M,3
ANDRES,M,3
ANDREUCCIO,M,3
ANDRIETTO,M,4
ANDRO,M,4
ANDRONICO,M,3
ANELLINO,M,3
ANELUSCO,M,4
ANEMISIANO,M,4
ANEMPOTISTA,M,4
ANGELANTONIO,M,4
ANGELICO,M,3
ANGELINO,M,3
ANGELO,M,1
ANGELOMARIA,M,2
ANGILBERTO,M,3
ANGIOLETTO,M,3
ANGIOLINO,M,3
ANGIOLO,M,3
ANICETO,M,3
ANIELLO,M,3
ANITO,M,3
ANNETTO,M,4
ANNIBALE,M,2
ANNICO,M,4
ANNINO,M,3
ANNIO,M,3
ANNITO,M,3
ANNO,M,3
ANNUCCIO,M,4
ANNUNCIATO,M,3
ANNUNCIO,M,3
ANNUNZIATO,M,3
ANNUNZIO,M,3
ANRICO,M,4
ANSALDO,M,4
ANSANO,M,4
ANSELMINO,M,4
ANSELMO,M,2
ANSPERTO,M,4
ANSUINO,M,4
ANTENORE,M,4
ANTEO,M,4
ANTERINO,M,4
ANTERIO,M,4
ANTERO,M,4
ANTIGONE,M,4
ANTIGONO,M,4
ANTIMINO,M,4
ANTIMO,M,3
ANTIOCO,M,3
ANTO,M,3
ANTONANGELO,M,3
ANTONELLO,M,2
ANTONETTO,M,4
ANTONGIORGIO,M,3
ANTONIANO,M,3
ANTONICO,M,4
ANTONIETTO,M,3
ANTONILLO,M,4
ANTONINO,M,1
ANTONIO,M,1
ANTONIUCCIO,M,2
ANTUONO,M,3
ANZIO,M,3
APOLLO,M,3
APOLLONIO,M,3
APOSTOLO,M,3
APPARIZIO,M,4
APPIANO,M,4
APPIOCLAUDIO,M,3
APRILIO,M,3
AQUILINO,M,3
AQUILIO,M,4
ARALDO,M,3
ARAMES,M,4
ARAMIS,M,3
ARCADIO,M,4
ARCANGELO,M,3
ARCANGIOLO,M,3
ARCEO,M,4
ARCHELAO,M,4
ARCHIBALDO,M,4
ARCHIMEDE,M,3
ARCHITA,M,3
ARCIBALDO,M,3
ARCIDE,M,4
ARCIDIO,M,4
ARCIDO,M,4
ARCISIO,M,4
ARCISO,M,4
ARCONTE,M,4
ARDEMARO,M,4
ARDENGO,M,4
ARDINGO,M,4
ARDINO,M,4
ARDITO,M,4
ARDO,M,4
ARDOINO,M,4
ARDOLINO,M,4
ARDOVINO,M,4
ARDUILIO,M,4
ARDUINO,M,3
ARDUO,M,4
AREALDO,M,4
ARETE,M,4
ARGANTE,M,3
ARGE,M,4
ARGEMIRO,M,3
ARGENTINO,M,3
ARGENTO,M,4
ARGEO,M,4
ARGIMIRO,M,4
ARGIO,M,4
ARGO,M,4
ARIALDO,M,4
ARIANNO,M,4
ARIANO,M,3
ARIBERTO,M,3
ARIELLO,M,4
ARIENZO,M,4
ARIETTO,M,4
ARIMONDO,M,4
ARINO,M,4
ARIO,M,4
ARIOSTO,M,3
ARISTARCO,M,3
ARISTEO,M,4
ARISTO,M,3
ARISTODEMO,M,4
ARISTOTELE,M,3
ARISTOTILE,M,3
ARKADIUSZ,M,4
ARMANDINO,M,3
ARMANDO,M,2
ARMANNO,M,4
ARMANO,M,3
ARMELINDO,M,4
ARMELLINO,M,4
ARMELLO,M,4
ARMENIO,M,4
ARMENO,M,4
ARMERINO,M,4
ARMIDIO,M,4
ARMIDO,M,4
ARMILDO,M,4
ARMINDO,M,4
ARMINIO,M,4
ARMIRIO,M,4
ARMIRO,M,4
ARMISTIZIO,M,4
ARNALDO,M,4
ARNOLDO,M,4
ARNOLFO,M,4
AROLDO,M,4
ARRIGHETTO,M,3
ARRIGO,M,2
ARRIGUCCIO,M,3
ARSENIO,M,3
ARSENO,M,4
ARSILIO,M,4
ARTEMIDIO,M,4
ARTEMINO,M,4
ARTEMIO,M,3
ARTEMISIO,M,4
ARTEMO,M,4
ARTENIO,M,4
ARTERIO,M,4
ARTICO,M,4
ARTIERO,M,4
ARTIMINO,M,4
ARTIMIO,M,4
ARTURINO,M,4
ARTURO,M,2
ARZELIO,M,3
ARZENIO,M,3
ASCANIO,M,3
ASCENSO,M,3
ASCENZIO,M,3
ASCENZO,M,3
ASCLEPIADE,M,3
ASCLEPIO,M,3
ASDRUBALE,M,3
ASIAGO,M,4
ASMARINO,M,4
ASMARO,M,4
ASMERINO,M,4
ASPASIO,M,4
ASPROMONTE,M,4
ASSALONNE,M,4
ASSENZIO,M,4
ASSUERO,M,4
ASSUNTINO,M,3
ASSUNTO,M,2
ASTER,M,3
ASTERINO,M,4
ASTERIO,M,4
ASTERO,M,4
ASTOLFO,M,3
ASTORE,M,3
ASTORINO,M,3
ASTORRE,M,3
ASTRO,M,3
ASVERO,M,4
ATALO,M,4
ATANASIO,M,3
ATENO,M,4
ATEO,M,4
ATHOS,M,4
ATOS,M,4
ATTALO,M,4
ATTANASIO,M,4
ATTICO,M,4
ATTILIANO,M,4
ATTILIO,M,1
ATTO,M,3
AUDACE,M,3
AUDENZIO,M,3
AUDISIO,M,3
AUGUSTALE,M,3
AUGUSTIN,M,3
AUGUSTINO,M,3
AUGUSTO,M,2
AULO,M,4
AURELIANO,M,4
AURELIO,M,2
AUREO,M,4
AURINO,M,4
AURO,M,4
AUSILIO,M,4
AUSONIO,M,4
AUSSENZIO,M,4
AVELINO,M,4
AVELIO,M,4
AVELLINO,M,4
AVENDRACE,M,4
AVENTINO,M,4
AVERALDO,M,4
AVERARDO,M,4
AVERINO,M,4
AVERIO,M,4
AVIERO,M,4
AVO,M,4
AVVENTINO,M,4
AZAD,M,4
AZEGLIO,M,3
AZELIO,M,3
AZIO,M,4
AZOLINO,M,4
AZZEGLIO,M,4
AZZELINO,M,4
AZZELLO,M,4
AZZIO,M,4
AZZO,M,4
AZZOLINO,M,4
AZZURRINO,M,3
AZZURRO,M,3
BABILA,M,3
BABILO,M,4
BACCHISIO,M,3
BACCIO,M,4
BACHISIO,M,3
BADOGLIO,M,4
BAINGIO,M,4
BALBINO,M,4
BALDASARRE,M,4
BALDASSARE,M,4
BALDASSARRE,M,3
BALDERICO,M,4
BALDINO,M,4
BALDO,M,3
BALDOINO,M,3
BALDOVINO,M,3
BALDUCCIO,M,3
BALDUINO,M,3
BALILLA,M,4
BAMBINO,M,3
BANDINELLO,M,3
BANDINO,M,3
BANDUCCIO,M,4
BARBARINO,M,3
BARBARO,M,3
BARBATO,M,3
BARBERINO,M,3
BARDILIO,M,4
BARDOMIANO,M,4
BARSANOFIO,M,4
BARSANOFRIO,M,4
